participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P15,arousal,2,5,89,23,23,89,svm,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.53125,0.45652173913043476,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.4986111111111111,0.5416666666666666,True
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.42430555555555555,0.4375,True
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,all_channels,10,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.5,0.5181159420289855,True
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5083333333333333,0.45833333333333337,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.6631944444444444,0.5208333333333333,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5833333333333334,0.34782608695652173,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.548611111111111,0.5,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.6,0.5,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.6666666666666666,0.45652173913043476,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__var_smoothing"": 1e-11}",0.45763888888888893,0.5416666666666666,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__var_smoothing"": 1e-11}",0.5722222222222223,0.3958333333333333,False
P15,arousal,2,5,89,23,23,89,gnb,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__var_smoothing"": 1e-11}",0.4375,0.45289855072463764,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,frontal_central,10,secondary,32,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5069444444444444,0.5833333333333333,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,frontal_central,10,secondary,32,2,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.6444444444444445,0.5208333333333333,False
P15,arousal,2,5,89,23,23,89,logreg,paper_compact,frontal_central,10,secondary,32,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.5833333333333334,0.2826086956521739,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,frontal_central,10,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.579861111111111,0.5,False
P15,arousal,2,5,89,23,23,89,svm,paper_compact,frontal_central,10,secondary,32,2,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.6652777777777777,0.5,False
